"","ISO","comunidad","Mortalidad","ingresados_hosp","ingresados_UCI","pib_capita","medicos_activos"
"1","ES-AN","ANDALUCIA",0.0179759664465026,0.00250298266976618,0.000637532850366325,"19633","410,4"
"2","ES-AR","ARAGON",0.0307486260564356,0.00264166628180853,0.000526485937283517,"28727","563,84"
"3","ES-AS","ASTURIAS",0.0402790780616112,0.00753421604030137,0.00227363916009095,"23299","525,93"
"4","ES-CB","CANTABRIA",0.0210400478182905,0.00314803745766089,0.00075712293285515,"24383","531,17"
"5","ES-CL","C.LEON",0.0311742076775672,0.0025694347723769,0.00080685054534452,"24886","504,98"
"6","ES-CM","C. LA MANCHA",0.0331031516292912,0.00140666596914635,0.000441762866343482,"21004","386,87"
"7","ES-CN","CANARIAS",0.0145639011618393,0.00661570470112444,0.00194029501835098,"21244","456,25"
"8","ES-CT","CATALUÑA",0.0224859681945744,0.00374961022762707,0.00374961022762707,"31119","479,71"
"9","ES-EX","EXTREMADURA",0.0250737250953032,0.000575415377975976,0.000201395382291592,"19454","471,47"
"10","ES-GA","GALICIA",0.0199003661456133,0.00269328263624842,0.000642515138712857,"23873","452,52"
"11","ES-IB","BALEARES",0.0129457268504618,0.00190741950866286,0.000618145211140743,"28213","431,07"
"12","ES-MC","MURCIA",0.0143232809265372,0.00129618232343013,0.000503552845073575,"21642","459,65"
"13","ES-MD","MADRID",0.0237841403527476,0.00350981816243445,0.000794581520399256,"35913","602,64"
"14","ES-NC","NAVARRA",0.0213158907272028,0.0012312427856868,0.000327048864948057,"32141","542,15"
"15","ES-PV","PAIS VASCO",0.0247058138556984,0.00289172526669211,0.000614572483972597,"34142","549,4"
"16","ES-RI","LA RIOJA",0.0264776097808001,0.00195326629530493,0.000723431961224047,"28200","457,44"
"17","ES-VC","C.VALENCIANA",0.0181255063903191,0.00128590470714304,0.000428634902381015,"23206","445,3"
